NSESymbol,Name,ISIN,ListingDate,ICICISymbol,Active,Series,LotSize,IsFuture,X
ALPHAGEO,ALPHAGEO (INDIA)LTD,INE137C01018,20070511,ALPHAG,TRUE,EQ,,,
ALPICFIN,ALPIC FINANCE LTD,INE429A01013,,ALPFIN,,,,,
ALPINEHOU,ALPINE HOUSING DEVELOPMENT COR,INE840D01015,,ALPHOU,,,,,
ALPINEIND,ALPINE INDUSTRIES LTD,,,,,,,,
ALPSINDUS,ALPS INDUSTRIES LTD,INE093B01015,19960424,ALPLAB,,BE,,,
ALSAMARINE,ALSA MARINE AND HARVESTS LTD,,,,,,,,
ALSTOMT&D,ALSTOM T&D INDIA LIMITED,,,,,,,,TRUE
ALTOS,ALTOS (I) LTD,,,,,,,,TRUE
AMAR,AMAR REMEDIES LTD,INE787G01011,,AMAREM,,,,,
AMARAJABAT,AMARA RAJA BATTERIES LTD,INE885A01032,20030905,AMARAJ,TRUE,EQ,1000,TRUE,
AMARDYCHEM,AMAR DYECHEM LTD,,,,,,,,
AMARJOTHI,AMARJOTHI SPINNING MILLS LTD,INE484D01012,,AMASPI,,,,,
AMBASARABH,AMBALAL SARABHAI ENTERPRISE LT,INE432A01017,,AMBSAR,,,,,
AMBER,AMBER ENTERPRISES INDIA LTD,INE371P01015,20180130,AMBEN,TRUE,EQ,,,
AMBICAAGAR,AMBICA AGARBATHIES & AROMA IND,INE792B01012,20040629,AMBAGA,TRUE,BE,,,
AMBIKCO,AMBIKA COTTON MILLS LIMITED,INE540G01014,20080129,AMBCOT,TRUE,EQ,,,
AMBUJACEM,AMBUJA CEMENTS LTD,INE079A01024,19980218,AMBCE,TRUE,EQ,1500,TRUE,
AMBUJARAJN,AMBUJA CEMENT RAJASTHAN LTD,INE125A01017,,DLFCEM,,,,,
AMBUJELCST,AMBUJA ELECTROCASTING LTD,,,,,,,,
AMDIND,AMD INDUSTRIES LIMITED,INE005I01014,20070319,AMDIND,TRUE,BE,,,
AMDMET,,,,,,,,,
AMERICADRY,AMERICAN DRY FRUITS LTD,,,,,,,,TRUE
AMFORGEIND,AMFORGE INDUSTRIES LTD,INE991A01020,,AMFIND,,,,,
AMIORG,AMI ORGANICS LIMITED,INE00FF01017,20210914,AMIORG,TRUE,EQ,,,
AMITSPIN,AMIT SPINNING INDUSTRIES LIMITED,,,,,,,,
AMJLAND,AMJ LAND HOLDINGS LIMITED,INE606A01024,19950208,PUDPUL,TRUE,EQ,,,
AML,,,,,,,,,
AMLSTEEL,AML STEEL LIMITED,INE577F01018,,AMLSTE,,,,,
AMRUTANJAN,AMRUTANJAN HEALTH CARE LIMITED,INE098F01031,20150102,AMRHEA,TRUE,EQ,,,
AMRUTIND,AMRUT INDUSTRIES LTD.,,,,,,,,
AMTEKAUTO,AMTEK AUTO LIMITED,,,,,,,,TRUE
AMTEKINDIA,AMTEK INDIA LIMITED,,,,,,,,TRUE
AMTL,ADVANCE METERING TECH LTD,INE436N01029,,ADVMET,,,,,
AMTREXAPPL,,,,,,,,,
ANAGRAMFIN,ANAGRAM FINANCE LIMITED,,,,,,,,TRUE
ANAMALFIN,SHIVA TEXYARN LIMITED,,,,,,,,TRUE
ANANDAMRUB,,,,,,,,,TRUE
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,20211214,ANARAT,TRUE,EQ,,,
ANANTRAJ,ANANT RAJ LIMITED,INE242C01024,20060927,ANARAJ,TRUE,EQ,,,
ANDHRABANK,ANDHRA BANK,INE434A01013,,ANDBAN,,,,,
ANDHRACEM,ANDHRA CEMENT CO. LTD,,,,,,,,
ANDHRACEMT,ANDHRA CEMENT LTD,INE666E01012,20101108,ANDCEM,,EQ,,,
